# MiniTrader market data replay file
# Format: instrument_id,bid_price,ask_price,bid_size,ask_size,last_price,last_size,exchange_timestamp_ns
# exchange_timestamp_ns: nanoseconds relative to first tick (t=0)
# Lines starting with '#' are ignored.
instrument_id,bid_price,ask_price,bid_size,ask_size,last_price,last_size,exchange_timestamp_ns
1,9995,10005,100,100,10000,10,0
1,9996,10004,150,120,10000,5,25312000
1,9997,10003,200,180,10000,8,50891000
1,9998,10002,100,100,10000,12,75234000
1,9999,10001,80,90,10000,3,100445000
1,9998,10002,100,100,10000,10,125678000
1,9997,10003,120,110,10000,7,151002000
1,9996,10004,180,170,10000,9,176234000
1,9995,10005,200,200,10000,15,201556000
1,9994,10006,160,150,9999,11,226789000
1,9993,10007,140,130,9999,6,252012000
1,9992,10008,150,160,9999,6,277345000
1,9993,10007,130,140,9999,8,302567000
1,9994,10006,130,140,9999,9,327890000
1,9995,10005,120,130,10000,7,353112000
1,9996,10004,100,100,10000,11,378445000
1,9997,10003,110,115,10000,5,403678000
1,9998,10002,90,95,10000,4,428901000
1,9999,10001,85,88,10000,3,454234000
1,10000,10002,80,90,10001,8,479456000
1,10001,10003,100,100,10002,12,504779000
1,10002,10004,120,110,10003,7,530012000
1,10003,10005,130,125,10004,5,555234000
1,10002,10004,110,120,10003,9,580567000
1,10001,10003,100,105,10002,6,605890000
1,10000,10002,95,100,10001,10,631112000
1,9999,10001,90,95,10000,8,656445000
1,9998,10002,100,100,9999,11,681678000
1,9997,10003,115,110,9999,7,706901000
1,9996,10004,120,115,9998,5,732234000
1,9995,10005,130,125,9998,9,757456000
1,9994,10006,140,135,9997,6,782779000
1,9993,10007,150,145,9997,4,808012000
1,9994,10006,135,140,9997,8,833234000
1,9995,10005,125,130,9998,10,858567000
1,9996,10004,115,120,9999,7,883890000
1,9997,10003,110,115,10000,5,909112000
1,9998,10002,100,105,10000,9,934445000
1,9999,10001,95,100,10000,11,959678000
1,10000,10002,90,95,10001,6,984901000
1,10001,10003,100,100,10002,8,1010234000
1,10002,10004,110,105,10003,5,1035456000
1,10003,10005,120,115,10004,7,1060779000
1,10004,10006,130,125,10005,4,1086012000
1,10005,10007,140,135,10006,6,1111234000
1,10004,10006,125,130,10005,9,1136567000
1,10003,10005,115,120,10004,11,1161890000
1,10002,10004,110,115,10003,8,1187112000
1,10001,10003,100,105,10002,6,1212445000
1,10000,10004,80,100,10002,20,1237678000
1,10001,10005,100,100,10003,8,1262901000
1,10000,10004,110,110,10002,5,1288234000
1,9999,10003,100,100,10001,7,1313456000
1,9998,10002,120,115,10000,9,1338779000
1,9997,10001,130,120,9999,6,1364012000
1,9996,10000,100,100,9998,10,1389234000
1,9995,9999,150,140,9997,12,1414567000
1,9994,9998,160,155,9996,8,1439890000
1,9993,9997,170,165,9996,5,1465112000
1,9992,9996,180,175,9995,7,1490445000
1,9993,9997,165,170,9995,9,1515678000
1,9994,9998,155,160,9996,11,1540901000
1,9995,9999,145,150,9997,6,1566234000
1,9996,10000,135,140,9998,8,1591456000
1,9997,10001,120,125,9999,5,1616779000
1,9998,10002,110,115,10000,10,1642012000
1,9999,10001,100,105,10000,7,1667234000
1,9998,10002,105,100,10000,9,1692567000
1,9997,10003,115,110,10000,6,1717890000
1,9996,10004,125,120,9999,11,1743112000
1,9997,10003,115,120,10000,8,1768445000
1,9998,10002,105,110,10000,5,1793678000
1,9999,10001,95,100,10000,9,1818901000
1,10000,10002,85,90,10001,7,1844234000
1,10001,10003,95,100,10002,4,1869456000
1,10002,10004,105,110,10003,8,1894779000
1,10001,10003,100,105,10002,11,1920012000
1,10000,10002,95,100,10001,6,1945234000
1,9999,10001,90,95,10000,9,1970567000
1,9998,10002,100,100,9999,7,1995890000
1,9997,10003,110,105,9999,5,2021112000
1,9996,10004,120,115,9998,8,2046445000
1,9995,10005,130,125,9998,10,2071678000
1,9996,10004,120,125,9998,7,2096901000
1,9997,10003,110,115,9999,5,2122234000
1,9998,10002,100,105,10000,9,2147456000
1,9999,10001,90,95,10000,6,2172779000
1,10000,10002,85,90,10001,11,2198012000
1,10001,10003,95,100,10002,8,2223234000
1,10002,10004,105,110,10003,5,2248567000
1,10003,10005,115,120,10004,7,2273890000
1,10002,10004,110,115,10003,9,2299112000
1,10001,10003,100,105,10002,6,2324445000
1,10000,10002,95,100,10001,10,2349678000
1,9999,10001,100,100,10000,8,2374901000
1,9998,10002,110,105,9999,5,2400234000
1,9997,10003,120,115,9999,7,2425456000
1,9996,10004,130,125,9998,9,2450779000
1,9995,10005,140,135,9997,6,2476012000
